item_id,name,neighborhood,cuisine,price_tier,avg_rating,n_reviews,lat,lon,vegetarian_ok,vegan_ok,gluten_free_ok
r0086,Mad Mex Shadyside,Shadyside,Mexican,2,4.29,1032,40.448326,-79.933887,true,true,true
r0087,Girasole,Shadyside,Italian,3,4.36,648,40.460049,-79.94099,true,false,true
r0088,Lucca,Shadyside,Italian,3,4.45,1269,40.450455,-79.930372,true,false,true
r0089,Industry Public House,Lawrenceville,American,2,4.23,2073,40.465487,-79.962059,true,false,true
r0090,Smoke BBQ South Side,South Side,BBQ,2,4.1,536,40.429303,-79.973889,false,false,true
r0091,Pizza Perfect Oakland,Oakland,Pizza,1,3.78,1975,40.441042,-79.95575,true,false,false
r0092,Aiello's Pizza,Squirrel Hill,Pizza,1,3.86,583,40.438025,-79.918356,true,false,false
r0093,Beto's Pizza,South Side,Pizza,1,4.62,989,40.429207,-79.972167,true,false,false
r0094,Ephesus Pizza,Bloomfield,Pizza,1,4.9,1446,40.46397,-79.946775,true,false,true
r0095,The Porch at Schenley,Oakland,American,2,3.99,3016,40.440885,-79.962911,true,true,true
r0096,Social House Seven,East Liberty,Korean,3,3.71,319,40.461424,-79.917471,true,false,true
r0097,Chengdu Gourmet Aspinwall,Highland Park,Chinese,2,4.33,1334,40.474496,-79.918582,true,false,true
r0098,Del's Bar,Squirrel Hill,American,1,4.17,194,40.439229,-79.927038,true,false,false
